ID,Label,Unit,Group
1,Heart Rate,1/min,VitalSigns 
2,NIBP Systolic,mmHg,VitalSigns 
3,NIBP Diastolic,mmHg,VitalSigns 
456,Dialysate Inlet Pressure,mmHg,VitalSigns 
457,Dialysate Outlet Pressure,mmHg,VitalSigns 
650,Stroke Volume,mL,VitalSigns 
757,Patient Weight,kg,PatientInfo 
1011,Therapy Running Status,unitless,DeviceInfo 
3003,Blood Flow Rate Setting,mL/min,Settings 
3006,Fluid Removal Volume Setting,mL,Settings 
3029,Transmembrane Pressure,mmHg,VitalSigns 
3168,Fluid Removal Actual Rate,mL/h,VitalSigns 
3236,Relative Blood Volume Change,%,VitalSigns 
3248,Generic Venous Line Pressure,mmHg,VitalSigns 
3479,Equivalent Dialysate Sodium (Na),mmol/L,VitalSigns 
3493,Desired Equivalent Dialysate Sodium (Na),mmol/L,Settings 
3627,Venous Pump Flow,mL/min,VitalSigns 
3704,Arterial/Main Pump Flow,mL/min,VitalSigns 
4226,Replacement Cumulated Volume,L,VitalSigns 
4229,Fluid Removal Cumulated Volume,mL,VitalSigns 
4236,Transmembrane Pressure Setting,mmHg,Settings 
4237,Desired Blood Volume Change Percentage,%,Settings 
4240,Plasma Sodium (Na),mmol/L,VitalSigns 
4241,Dilution Ratio (Qf/Qb),unitless,VitalSigns 
4347,Therapy Remaining Time,s,OtherMeasuredData 
5850,Anticoagulant Cumulated Volume,mL,VitalSigns 
5853,Delivered Treatment Effectiveness (Kt/V),unitless,VitalSigns 
5855,Blood Flow Rate,mL/min,VitalSigns 
5856,Dialysate Flow Rate,mL/min,VitalSigns 
5861,Effective Blood Volume Processed (Kt),L,VitalSigns 
5863,Dialysate Temperature,°C,VitalSigns 
5884,Replacement Cumulated Bolus Volume,mL,VitalSigns 
5888,Dialysate pH,pH,VitalSigns 
5889,Ionic Clearance,mL/min,VitalSigns 
5890,Ionic Mass Balance,mmol/L,VitalSigns 
5892,Bicarbonate Conductivity (8.4%),mS/cm,VitalSigns 
5899,Actual Anticoagulant Rate,mL/h,VitalSigns 
6643,Substitution Fluid And Blood Ratio (Qi/Qb),unitless,Measurements 
7438,Generic Arterial Line Pressure,mmHg,VitalSigns 
7979,Dialysate Conductivity,mS/cm,VitalSigns 
7988,Plasma Conductivity,mS/cm,VitalSigns 
8811,Therapy Elapsed Time,min,OtherMeasuredData 
8813,Processed Cumulated Blood Volume,L,VitalSigns 
8856,Therapy Operation Status,unitless,DeviceInfo 
9642,Replacement Flow Rate,mL/h,VitalSigns 
