ID,Label,Unit,Group
1,Heart Rate,1/min,VitalSigns 
414,Cardiac Output,L/min,VitalSigns 
585,Patient Category,unitless,PatientInfo 
649,Cardiac Index,L/min/m2,VitalSigns 
650,Stroke Volume,mL,VitalSigns 
651,Stroke Volume Index,mL/m2,VitalSigns 
2255,Device Date/Time,unitless,DeviceInfo 
6412,Blood Minute Distance,cm,VitalSigns 
6413,Blood Stroke Distance,cm,VitalSigns 
6414,Flow Time To Peak,ms,VitalSigns 
6415,Blood Mean Acceleration,m/s2,VitalSigns 
8117,Corrected Flow Time,ms,VitalSigns 
8118,Peak Velocity,cm/s,VitalSigns 
