ID,Label,Unit,Group
20,End Tidal CO2 (EtCO2),-,VitalSigns 
60,Tidal Volume,mL,VitalSigns 
61,Dynamic Compliance,L/bar,VitalSigns 
114,CO2 Concentration Waveform,-,Waveforms 
118,Airway Flow Wave,L/min,Waveforms 
177,Alarm Data,unitless,Alarms 
582,Resistance,mbar/L/s,VitalSigns 
584,Ventilation Mode,unitless,DeviceInfo 
588,Alarm Message,unitless,Alarms 
635,Inspired O2 (FiO2),%,VitalSigns 
754,Device Name,unitless,DeviceInfo 
775,Inspiratory Component of I:E Ratio,unitless,VitalSigns 
776,Expiratory Component of I:E Ratio,unitless,VitalSigns 
1189,Positive End Expiratory Pressure (PEEP),mbar,VitalSigns 
1190,I:E Ratio,unitless,VitalSigns 
1197,Message Text,unitless,Messages 
1306,Tidal Volume,mL,VitalSigns 
1307,Minute Volume,L/min,VitalSigns 
1314,Spontaneous Respiration Rate,1/min,VitalSigns 
1318,Static Compliance,mL/mbar,VitalSigns 
1320,Mandatory Respiration Rate Setting,1/min,Settings 
1321,Tidal Volume Setting,-,Settings 
1324,Sigh Interval Setting,s,Settings 
1326,Sigh Number Setting,unitless,Settings 
1328,Apnea Tidal Volume Setting,-,Settings 
1329,Apnea Respiration Rate Setting,1/min,Settings 
1332,Pressure Support Level Above PEEP Setting,mbar,Settings 
1381,Inspiratory Flow Setting,L/min,Settings 
1383,Inspiratory Flow Trigger Setting,L/min,Settings 
1386,Intermittent PEEP Setting,mbar,Settings 
1387,APRV Low Pressure Setting,mbar,Settings 
1388,APRV Low Time Setting,s,Settings 
1389,APRV High Pressure Setting,mbar,Settings 
1390,APRV High Time Setting,s,Settings 
1391,Apnea Time Setting,s,Settings 
1393,Maximum Inspired Pressure Setting,mbar,Settings 
1415,Mean Airway Pressure,mbar,VitalSigns 
1422,Rapid Shallow Breathing Index,-,VitalSigns 
1426,Intrinsic PEEP,mbar,VitalSigns 
1569,Minimum Airway Pressure,mbar,VitalSigns 
1570,P0.1 Occlusion Pressure,mbar,VitalSigns 
1571,Lung Volume Trapped (TrpVol),mL,VitalSigns 
1575,Respired Volume Wave,mL,Waveforms 
1637,Ventilation Pressure Variability Setting,%,Settings 
1638,APRV Low Time Limitation,s,Settings 
1640,Spontaneous Mean Tidal Volume,mL,VitalSigns 
1641,Spontaneous Inspired Mean Tidal Volume,mL,VitalSigns 
1642,Spontaneous Expired Mean Tidal Volume,mL,VitalSigns 
1650,SmartCare FiO2 Limitation,%,Settings 
1651,SmartCare PEEP Limitation,mbar,Settings 
