ID,Label,Unit,Group
2,NIBP Systolic,-,VitalSigns 
3,NIBP Diastolic,-,VitalSigns 
4,NIBP Mean,-,VitalSigns 
7,Patient Delta Temperature,-,VitalSigns 
14,SpO2,-,VitalSigns 
16,NIBP Pulse Rate,-,VitalSigns 
19,ECG Heart Rate,-,VitalSigns 
22,Respiration Rate,-,VitalSigns 
26,Device Inactivation Status,unitless,DeviceInfo 
28,Active Alarms,unitless,Alarms 
29,Latched Alarms,unitless,Alarms 
33,Inactive Alarms,unitless,Alarms 
34,General ST Level 1,-,VitalSigns 
35,General ST Level 2,-,VitalSigns 
36,General ST Level 3,-,VitalSigns 
45,Temperature 3,-,VitalSigns 
46,Temperature 4,-,VitalSigns 
48,O2 Saturation (SO2),-,VitalSigns 
113,Pleth Waveform,-,Waveforms 
127,ECG Measurement Status,-,OtherMeasuredData 
169,Patient Age,-,PatientInfo 
170,Patient Sex,unitless,PatientInfo 
405,Generic O2 Saturation (1),-,VitalSigns 
406,Generic O2 Saturation (2),-,VitalSigns 
414,Cardiac Output,-,VitalSigns 
465,Fetal Heart Rate (FHR),-,VitalSigns 
467,Fetal Beat-to-Beat Rate (FHR),-,VitalSigns 
469,TOCO,-,VitalSigns 
497,ECG Lead Name,-,OtherMeasuredData 
501,Arterial Pressure (ART) Systolic,-,VitalSigns 
502,Arterial Pressure (ART) Diastolic,-,VitalSigns 
503,Arterial Pressure (ART) Mean,-,VitalSigns 
512,Left Atrial Mean Pressure (LAP),-,VitalSigns 
519,Central Venous Pressure (CVP),-,VitalSigns 
538,Device Language,unitless,DeviceInfo 
591,ECG Lead II,-,VitalSigns 
592,Airway N2O Concentration,-,VitalSigns 
593,Inspired Desflurane,-,VitalSigns 
595,Inspired Sevoflurane,-,VitalSigns 
597,Fresh Gas Agent Value,-,VitalSigns 
598,Fresh Gas Halothane,-,VitalSigns 
599,Fresh Gas Enflurane,-,VitalSigns 
600,Fresh Gas Isoflurane,-,VitalSigns 
601,Inspired Halothane,-,VitalSigns 
603,Inspired Enflurane,-,VitalSigns 
605,Inspired Isoflurane,-,VitalSigns 
608,End Tidal CO2,-,VitalSigns 
616,Airway Pressure,-,VitalSigns 
618,Airway N2O Wave,-,Waveforms 
620,Halothane Concentration Wave,-,Waveforms 
621,Enflurane Concentration Wave,-,Waveforms 
622,Isoflurane Concentration Wave,-,Waveforms 
623,Desflurane Concentration Wave,-,Waveforms 
624,Sevoflurane Concentration Wave,-,Waveforms 
625,Apnea Duration,-,VitalSigns 
626,End Tidal CO2,-,VitalSigns 
630,Cardiac Beat-to-Beat Rate,-,VitalSigns 
633,Airway Delta O2 Concentration,-,VitalSigns 
649,Cardiac Output Index,-,VitalSigns 
650,Stroke Volume,-,VitalSigns 
651,Stroke Volume Index,-,VitalSigns 
654,Systemic Vascular Resistance,-,VitalSigns 
669,Normalized Ionized Calcium Concentration (Ca),-,VitalSigns 
678,Potassium Ion Concentration (K+),-,VitalSigns 
696,QT Interval (QT),-,VitalSigns 
764,Device Specification ID,unitless,DeviceInfo 
765,Device Specification Type,unitless,DeviceInfo 
794,Pleth Wave (2),-,Waveforms 
854,Total Number of Used Disposable,-,DeviceInfo 
946,Cumulated Syringe Infused Volume,-,OtherMeasuredData 
966,Current Therapy Time,-,OtherMeasuredData 
1043,Manually Entered Hematocrit,-,Settings 
1055,Infusion Drug Name,-,PatientInfo 
1072,Infusion Time Remaining,-,VitalSigns 
1095,Infusion Dose Rate Setting,-,Settings 
1096,Volume To Be Infused Original Setting,-,Settings 
1110,KVO Rate Setting,-,Settings 
1186,Inspired Minute Volume,-,VitalSigns 
1190,I:E Ratio,-,VitalSigns 
1208,SpO2,-,VitalSigns 
1220,Patient Birth Date,unitless,PatientInfo 
1234,SpO2 (Pre-Ductal),-,VitalSigns 
1236,SpO2 (Post-Ductal),-,VitalSigns 
1244,ECG Lead III,-,VitalSigns 
1246,Hematocrit,-,VitalSigns 
1250,Pulmonary Vascular Resistance,-,VitalSigns 
1251,Body Surface Area,-,PatientInfo 
1255,ECG Lead MCL1,-,VitalSigns 
1257,ECG Lead V1,-,VitalSigns 
1258,ECG Lead V6,-,VitalSigns 
1259,ECG Lead aVL,-,VitalSigns 
1260,ECG Lead aVF,-,VitalSigns 
1261,ECG Lead aVR,-,VitalSigns 
1262,ECG Lead V2,-,VitalSigns 
1263,ECG Lead V3,-,VitalSigns 
1264,ECG Lead V4,-,VitalSigns 
1265,ECG Lead V5,-,VitalSigns 
1283,Patient Temperature,-,VitalSigns 
1286,Micro Environment Air Temperature,-,OtherMeasuredData 
1306,Tidal Volume,-,VitalSigns 
1319,Static Resistance,-,VitalSigns 
1321,Tidal Volume Setting,-,Settings 
1323,Pressure Sensitivity Setting,-,Settings 
1324,Sigh Interval Setting,-,Settings 
1325,Sigh Volume Setting,-,Settings 
1332,Pressure Support Level Above PEEP Setting,-,Settings 
1333,Spontaneous Minute Volume,-,VitalSigns 
1340,Negative Inspiratory Pressure,-,VitalSigns 
1342,Peak Spontaneous Flow,-,VitalSigns 
1343,Flow-by Base Flow Setting,-,Settings 
1344,Flow Sensitivity Setting,-,Settings 
1348,Expiratory Time,-,VitalSigns 
1381,Inspiratory Flow Setting,-,Settings 
1382,Expiratory Flow Setting,-,Settings 
1383,Inspiratory Flow Trigger Setting,-,Settings 
1387,APRV Low Pressure Setting,-,Settings 
1389,APRV High Pressure Setting,-,Settings 
1391,Apnea Time Setting,-,Settings 
1398,Minute Volume Setting,-,Settings 
1418,Positive End Expiratory Pressure (PEEP),-,VitalSigns 
1419,Ventilator Work of Breathing,-,VitalSigns 
1422,Rapid Shallow Breathing Index,-,VitalSigns 
1424,Patient Work of Breathing,-,VitalSigns 
1435,Systemic Vascular Resistance Index,-,VitalSigns 
1436,Pulmonary Vascular Resistance Index,-,VitalSigns 
1442,Continuous Cardiac Output,-,VitalSigns 
1443,Continuous Cardiac Output Index,-,VitalSigns 
1451,Pump Infusion Status,-,DeviceInfo 
1463,Hemoglobin (Hb),-,VitalSigns 
1464,Pleth Wave (Pre-Ductal),-,Waveforms 
1465,Pleth Wave (Post-Ductal),-,Waveforms 
1466,Arterial Venous O2 Content Difference,-,VitalSigns 
1467,O2 Delivery (DO2),-,VitalSigns 
1469,O2 Extraction Ratio (O2ER),-,VitalSigns 
1471,O2 Delivery Index (DO2I),-,VitalSigns 
1472,O2 Consumption Index (VO2I),-,VitalSigns 
1473,Oxygenation Ratio (PaO2/FiO2),-,VitalSigns 
1475,Physiologic Dead Space,-,VitalSigns 
1477,Alveolar Ventilation Volume (VA),-,VitalSigns 
1478,Urea Nitrogen Concentration (BUN),-,VitalSigns 
1479,Creatinine Concentration (Crea),-,VitalSigns 
1480,Plasma Osmolarity (Osm),-,VitalSigns 
1482,Urine Creatinine,-,VitalSigns 
1484,Urine Potassium (K+),-,VitalSigns 
1486,Urine Osmolarity,-,VitalSigns 
1487,Blood Urea Nitrogen Creatinine Ratio (BUN/cr),-,VitalSigns 
1488,Osmolar Clearance (COSM),-,VitalSigns 
1489,Creatinine Clearance (CreaCl),-,VitalSigns 
1490,Fractional Excretion of Sodium (FeNa),-,VitalSigns 
1493,Urine Serum Creatinine Ratio,-,VitalSigns 
1495,Urine Potassium Excretion,-,VitalSigns 
1496,Urine Sodium Excretion,-,VitalSigns 
1497,Free Water Clearance (CH2O),-,VitalSigns 
1520,Inspired N2O,-,VitalSigns 
1523,Premature Ventricular Contractions,-,VitalSigns 
1533,LAP Systolic,-,VitalSigns 
1534,LAP Diastolic,-,VitalSigns 
1540,TcGas Heating Power,-,DeviceInfo 
1556,Abdominal Fetal Heart Rate (FHR),-,VitalSigns 
1557,Abdominal Fetal Beat-to-Beat Rate (FHR),-,VitalSigns 
1558,Patient Activity Level (Movement),-,VitalSigns 
1559,Patient Activity Level (Wearable),-,VitalSigns 
1569,Minimum Airway Pressure,-,VitalSigns 
1570,P0.1 Occlusion Pressure,-,VitalSigns 
1573,Patient CO2 Production,-,VitalSigns 
1574,Relative Dead Space,-,VitalSigns 
1590,Procalcitonin (PCT),-,VitalSigns 
1607,Fetal Heart Rate (USound),-,VitalSigns 
1609,Fetal Beat-to-Beat Rate (USound),-,VitalSigns 
1630,HFV Mean Pressure Setting,-,Settings 
1631,HFV Tidal Volume Setting,-,Settings 
1645,PAV-based Resistance Setting,-,Settings 
1646,PAV-based Elastance Setting,-,Settings 
1703,Abdominal TOCO,-,VitalSigns 
1704,Chest Movement Respiration Rate,-,VitalSigns 
1705,Patient Movement Respiration Rate,-,VitalSigns 
1706,Patient Movement Pulse Rate,-,VitalSigns 
1707,Respiration Signal Quality Index (Movement),-,OtherMeasuredData 
1710,Cardiac Power Index (CCO),-,VitalSigns 
1711,Cardiac Power Output (CCO),-,VitalSigns 
1715,Central Venous Pressure (Thermodilution),-,VitalSigns 
1716,Mean Arterial Pressure (Thermodilution),-,VitalSigns 
1718,Average Blood Temperature (Thermodilution),-,VitalSigns 
1723,O2 Delivery DO2 (Thermodilution),-,VitalSigns 
1724,O2 Consumption (Thermodilution),-,VitalSigns 
1725,O2 Consumption Index (Thermodilution),-,VitalSigns 
1733,Global End-Diastolic Volume (Thermodilution),-,VitalSigns 
1734,Global End-Diastolic Volum Index (Thermodilution),-,VitalSigns 
1735,Pulmonary Vascular Permeability Index (Thermodilution),-,VitalSigns 
1737,Stroke Volume (Thermodilution),-,VitalSigns 
1738,Stroke Volume Index (Thermodilution),-,VitalSigns 
1739,O2 Consumption Estimate,-,VitalSigns 
1745,EEG1 Wave,-,Waveforms 
1746,EEG2 Wave,-,Waveforms 
1747,EEG3 Wave,-,Waveforms 
1748,EEG4 Wave,-,Waveforms 
1751,Spectral Edge Frequency,-,VitalSigns 
1757,Burst Suppression Ratio,-,VitalSigns 
1759,Patient Energy Expenditure,-,VitalSigns 
1760,Patient Respiratory Quotient,-,VitalSigns 
1782,Spectral Edge Frequency (CH3),-,VitalSigns 
1784,Relative Power In Delta Band (CH3),-,VitalSigns 
1785,Relative Power In Theta Band (CH3),-,VitalSigns 
1786,Relative Power In Alpha Band (CH3),-,VitalSigns 
1787,Relative Power In Beta Band (CH3),-,VitalSigns 
1790,Spectral Edge Frequency (CH4),-,VitalSigns 
1792,Relative Power In Delta Band (CH4),-,VitalSigns 
1793,Relative Power In Theta Band (CH4),-,VitalSigns 
1794,Relative Power In Alpha (CH4),-,VitalSigns 
1795,Relative Power In Beta Band (CH4),-,VitalSigns 
1911,Device Unique ID,unitless,DeviceInfo 
