ID,Label,Unit,Group
168,Device ID,unitless,DeviceInfo 
754,Device Name,unitless,DeviceInfo 
757,Patient Weight,kg,PatientInfo 
980,Base Device ID,unitless,DeviceInfo 
1831,Bed Head Angle Alarm,unitless,Alarms 
1891,Power Supply Status,unitless,DeviceInfo 
1913,Device Serial Number,unitless,DeviceInfo 
1929,Patient ID,unitless,PatientInfo 
1930,Patient Name,unitless,PatientInfo 
1931,Patient Location ID,unitless,PatientInfo 
1932,Patient Location Text,unitless,PatientInfo 
1946,Remote Alarm Application Mode,unitless,DeviceInfo 
1947,Remote Alarm Application Indicator Status,unitless,DeviceInfo 
1948,Patient Weight Scale Activity,unitless,DeviceInfo 
1957,Remote CIS Application Status,unitless,DeviceInfo 
1958,Remote CIS Application Indicator Status,unitless,DeviceInfo 
1963,Nurse Call Indicator Status,unitless,DeviceInfo 
1964,Nurse Answer Indicator Status,unitless,DeviceInfo 
1986,Bed Height Position,unitless,DeviceInfo 
1987,Bed Lockout Status,unitless,DeviceInfo 
1988,Bed Head Rails Position,unitless,DeviceInfo 
1989,Bed Foot RailsPosition,unitless,DeviceInfo 
1990,Bed Surface Support Mode,unitless,DeviceInfo 
1991,Bed Emergency CPR Status,unitless,DeviceInfo 
1992,Bed Clearance Status,unitless,DeviceInfo 
1993,Bed Rotation Therapy Status,unitless,DeviceInfo 
1994,Bed Percussion Therapy Status,unitless,DeviceInfo 
1995,Bed Vibration Therapy Status,unitless,DeviceInfo 
1996,Patient Environment Control Activity,unitless,DeviceInfo 
1997,Patient Environment Activity Cleared Status,unitless,DeviceInfo 
1998,Bed Head Angle Alarm Mode,unitless,DeviceInfo 
1999,Bed Head Angle Alarm Silence Status,unitless,DeviceInfo 
2000,Bed Clearance Indicator Status,unitless,DeviceInfo 
2001,SmartBed Patient Movement State,unitless,OtherMeasuredData 
2477,Battery Module Status,unitless,DeviceInfo 
2879,Device Software Revision,unitless,DeviceInfo 
3593,Device Communications Status,unitless,DeviceInfo 
3833,Device Protocol Mode,unitless,DeviceInfo 
4274,Service Message,unitless,Group not set yet 
4281,Nurse Call Status,unitless,DeviceInfo 
9526,Bed Head Angle,°,DeviceInfo 
9529,Current Patient Weight,kg,VitalSigns 
9530,Bed Brake Status,unitless,DeviceInfo 
9536,SmartBed Working Mode,unitless,Settings 
9537,SmartBed General Alarm,unitless,Alarms 
9543,SmartBed Patient Position State,unitless,OtherMeasuredData 
