ID,Label,Unit,Group
542,Maximum Tidal Volume Limit,-,Settings 
955,Battery Running Alarm,unitless,Alarms 
2032,Volume Not Delivered Alarm,unitless,Alarms 
2445,Patient Rebreathing Alarm,unitless,Alarms 
2595,General Alarm Status,unitless,Alarms 
2784,ASB Ramp Time Setting,-,Settings 
3147,Maximum Lung Elastance Setting,-,Settings 
3203,Maximum Airway Resistance Setting,-,Settings 
3592,Low Airway Flow Alarm,unitless,Alarms 
3640,Pressure Alarm Delay,-,DeviceInfo 
4468,Patient Alarm Global State,unitless,Alarms 
4957,Trigger Sensitivity Setting,-,Settings 
6288,Percent of Patient Triggered Breaths,%,OtherMeasuredData 
6935,Estimated Patient Circuit Leakage,-,OtherMeasuredData 
7835,Ventilation Comfort Mode Flex Setting,-,Settings 
8153,IPAP Minimum Pressure Setting,-,Settings 
8261,Patient Expiratory Port Type,unitless,DeviceInfo 
8590,Vt Not Achieved Alarm,unitless,Alarms 
8646,Patient Interface Type,unitless,DeviceInfo 
8653,Tidal Volume Exceeded Alarm,unitless,Alarms 
9882,Check Maximum Pressure Alarm,unitless,Alarms 
9955,Maximum IPAP Setting,-,Settings 
31065,Low Ventilator Total Respiration Rate Alarm,unitless,Alarms 
32211,Low Expired Tidal Volume Alarm,unitless,Alarms 
32221,Low Expired Minute Volume Alarm,unitless,Alarms 
32311,Low Peak Inspiratory Pressure Alarm,unitless,Alarms 
50203,Device Model,unitless,DeviceInfo 
50212,Device Software Revision,unitless,DeviceInfo 
51065,Ventilator Total Respiration Rate,1/min,VitalSigns 
52127,Inspiration Time Percentage,%,VitalSigns 
52211,Expired Tidal Volume,mL,VitalSigns 
52221,Expired Minute Volume,L/min,VitalSigns 
52311,Peak Inspiratory Pressure,cmH2O,VitalSigns 
52911,Airway Flow Waveform,L/min,Waveforms 
52912,Airway Volume Waveform,mL,Waveforms 
52913,Airway Pressure Waveform,cmH2O,Waveforms 
54011,Ventilation Standby State,unitless,VitalSigns 
54013,Ventilation Mode,unitless,Settings 
54021,Ventilation Mode Primary,unitless,Settings 
54022,Ventilation Mode Options,unitless,Settings 
54051,Inspired O2 (FiO2) Setting,%,Settings 
54061,Ventilation Leakage Minute Volume,L/min,VitalSigns 
54111,Mandatory Respiratory Rate Setting,1/min,Settings 
54121,Inspiratory Time Setting,s,Settings 
54123,lnspiratory Rise Time Setting,s,Settings 
54151,Inspired Tidal Volume Setting,mL,Settings 
54172,CPAP Setting,cmH2O,Settings 
54231,Inspiratory Flow Termination Setting,L/min,Settings 
54351,Proportional Support Level Setting,%,Settings 
54381,EPAP Setting,cmH2O,Settings 
54382,IPAP Setting,cmH2O,Settings 
54624,Fresh Gas Total Flow Rate Setting,L/min,Settings 
71065,High Ventilator Total Respiration Rate Alarm,unitless,Alarms 
72211,High Expired Tidal Volume Alarm,unitless,Alarms 
72311,High Peak Inspiratory Pressure Alarm,unitless,Alarms 
90714,Battery Low Alarm,unitless,Alarms 
90719,Main Power Disconnected Alarm,unitless,Alarms 
92001,Ventilator Patient Disconnected Alarm,unitless,Alarms 
92011,Ventilator Inoperative Alarm,unitless,Alarms 
92021,Ventilator Obstruction Alarm,unitless,Alarms 
92405,Pressure Sensor Disconnected Alarm,unitless,Alarms 
92612,O2 Supply Alarm,unitless,Alarms 
92631,O2 Supply High Alarm,unitless,Alarms 
92632,O2 Supply Low Alarm,unitless,Alarms 
