ID,Label,Unit,Group
1033,Air Bubble Detection State,unitless,DeviceInfo 
1869,Module State,unitless,DeviceInfo 
1891,Device Power Supply Status,unitless,DeviceInfo 
2132,AC Power Supply Failure Alarm,unitless,Alarms 
2590,Generic Device Alarm,unitless,Alarms 
2899,Flow Sensor Type,unitless,DeviceInfo 
2907,Patient Temperature,°C,VitalSigns 
3052,Device Screen State,unitless,DeviceInfo 
3267,Pulsatile Pulse Percentage Setting,%,Settings 
3288,Generic Pump Rotation Speed,rpm,VitalSigns 
3335,Pulsatile Simulated Frequency Setting,1/min,Settings 
3636,Device Alarm Status,unitless,Alarms 
3691,HLM System Control Module Technical Alarm,unitless,Alarms 
3696,Generic Pump Running Status,unitless,DeviceInfo 
3701,Generic Pump Flow Rate Setting,mL/min,Settings 
3702,Generic Pump Rotation Speed Setting,rpm,Settings 
3705,Generic Pump Flow Alarm,unitless,Alarms 
5233,Blood Level Measurement Status,unitless,OtherMeasuredData 
5855,Blood Flow Rate,mL/min,VitalSigns 
7244,Generic Pressure Line Value,mmHg,VitalSigns 
7945,Pulsatile Pump Speed Amplitude Setting,rpm,Settings 
9266,Generic ECG Alarm,unitless,Alarms 
